sale_date,product,category,region,quantity,amount,stock_quantity
2011-01-04,"Message Book, Wirebound, Four 5 1/2' X 4' Forms/Pg., 200 Dupl. Sets/Book",Office Supplies,Central,2,16.45,102
2011-01-05,Avery 508,Office Supplies,Central,3,11.78,179
2011-01-05,SAFCO Boltless Steel Shelving,Office Supplies,Central,3,272.74,92
2011-01-05,GBC Standard Plastic Binding Systems Combs,Office Supplies,Central,2,3.54,14
2011-01-06,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Office Supplies,East,3,19.54,106
2011-01-07,Rogers Handheld Barrel Pencil Sharpener,Office Supplies,South,2,5.48,71
2011-01-07,Global Deluxe High-Back Manager's Chair,Furniture,South,9,2573.82,188
2011-01-07,Ibico Hi-Tech Manual Binding System,Office Supplies,South,2,609.98,20
2011-01-07,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Office Supplies,South,3,12.78,102
2011-01-07,GE 30524EE4,Technology,South,2,391.98,121
2011-01-07,Wireless Extenders zBoost YX545 SOHO Signal Booster,Technology,South,4,755.96,210
2011-01-07,"Alliance Super-Size Bands, Assorted Sizes",Office Supplies,South,4,31.12,214
2011-01-07,Southworth 25% Cotton Granite Paper & Envelopes,Office Supplies,South,1,6.54,74
2011-01-07,Xerox 225,Office Supplies,West,3,19.44,202
2011-01-08,Howard Miller 14-1/2' Diameter Chrome Round Wall Clock,Furniture,Central,3,76.73,87
2011-01-08,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1'",Office Supplies,Central,7,10.43,116
2011-01-10,Newell 312,Office Supplies,Central,2,9.34,99
2011-01-10,Memorex Micro Travel Drive 8 GB,Technology,Central,3,31.2,103
2011-01-11,Howard Miller 11-1/2' Diameter Ridgewood Wall Clock,Furniture,South,1,51.94,151
2011-01-11,Avery 482,Office Supplies,South,1,2.89,130
2011-01-12,"DAX Value U-Channel Document Frames, Easel Back",Furniture,East,2,9.94,149
2011-01-14,Fellowes Stor/Drawer Steel Plus Storage Drawers,Office Supplies,South,6,572.58,52
2011-01-14,Staples,Office Supplies,South,3,5.64,1
2011-01-14,4009 Highlighters by Sanford,Office Supplies,West,5,19.9,87
